source_model,model_family,fold0_weight_path,fold1_weight_path,fold2_weight_path
HCP_CamCan,TractSeg,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_TractSeg_x6/best_weights_ep45.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_TractSeg_x7/best_weights_ep32.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_TractSeg_x8/best_weights_ep45.npz
HCP_CamCan,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_TractSeg3D_x9/best_weights_ep9.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_TractSeg3D_x10/best_weights_ep5.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_TractSeg3D_x11/best_weights_ep6.npz
HCP_CamCan,mednext3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_mednext3D/best_weights_ep11.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_mednext3D_x1/best_weights_ep11.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_mednext3D_x2/best_weights_ep14.npz
HCP_CamCan,swinunetr,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_swinunetr_x6/best_weights_ep38.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_swinunetr_x7/best_weights_ep32.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_swinunetr_x8/best_weights_ep26.npz
HCP_CamCan,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_swinunetr3D_x3/best_weights_ep3.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_swinunetr3D_x4/best_weights_ep5.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_experiment_swinunetr3D_x5/best_weights_ep5.npz
HCP_CamCan_PING,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_MASAM3D_x8/best_weights_ep29.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_MASAM3D_x9/best_weights_ep25.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_MASAM3D_x10/best_weights_ep20.npz
HCP_CamCan_PING,TractSeg,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg_x2/best_weights_ep22.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg_x3/best_weights_ep25.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg_x4/best_weights_ep26.npz
HCP_CamCan_PING,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg3D_x3/best_weights_ep7.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg3D_x4/best_weights_ep8.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg3D_x5/best_weights_ep7.npz
HCP_CamCan_PING,mednext3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_mednext3D/best_weights_ep18.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_mednext3D_x1/best_weights_ep16.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_mednext3D_x2/best_weights_ep14.npz
HCP_CamCan_PING,swinunetr,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr_x4/best_weights_ep27.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr_x5/best_weights_ep25.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr_x6/best_weights_ep33.npz
HCP_CamCan_PING,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr3D_x2/best_weights_ep7.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr3D_x3/best_weights_ep8.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr3D_x4/best_weights_ep7.npz
HCP_PING,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_MASAM3D/best_weights_ep36.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_MASAM3D_x1/best_weights_ep23.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_MASAM3D_x2/best_weights_ep28.npz
HCP_PING,TractSeg,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_TractSeg/best_weights_ep37.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_TractSeg_x1/best_weights_ep48.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_TractSeg_x2/best_weights_ep42.npz
HCP_PING,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_TractSeg3D/best_weights_ep9.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_TractSeg3D_x1/best_weights_ep12.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_TractSeg3D_x2/best_weights_ep11.npz
HCP_PING,mednext3D,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_mednext3D/best_weights_ep21.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_mednext3D_x1/best_weights_ep21.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_mednext3D_x2/best_weights_ep20.npz
HCP_PING,swinunetr,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_swinunetr/best_weights_ep22.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_swinunetr_x1/best_weights_ep23.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_swinunetr_x2/best_weights_ep18.npz
HCP_PING,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_swinunetr3D/best_weights_ep8.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_swinunetr3D_x1/best_weights_ep8.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_Ping_experiment_swinunetr3D_x7/best_weights_ep8.npz
PING,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/Ping_experiment_MASAM3D/best_weights_ep38.npz,$DATA_PATH/TractSeg/hcp_exp/Ping_experiment_MASAM3D_x1/best_weights_ep113.npz,$DATA_PATH/TractSeg/hcp_exp/Ping_experiment_MASAM3D_x2/best_weights_ep131.npz
PING,TractSeg,$DATA_PATH/TractSeg/hcp_exp/Ping_experiment_TractSeg_x9/best_weights_ep105.npz,$DATA_PATH/TractSeg/hcp_exp/Ping_experiment_TractSeg_x10/best_weights_ep105.npz,$DATA_PATH/TractSeg/hcp_exp/Ping_experiment_TractSeg_x12/best_weights_ep193.npz
PING,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/Ping_experiment_TractSeg3D_x1/best_weights_ep51.npz,$DATA_PATH/TractSeg/hcp_exp/Ping_experiment_TractSeg3D_x2/best_weights_ep53.npz,$DATA_PATH/TractSeg/hcp_exp/Ping_experiment_TractSeg3D_x3/best_weights_ep35.npz
PING,mednext3D,$DATA_PATH/TractSeg/hcp_exp/run_with_Ping_mednext3D/best_weights_ep74.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_Ping_mednext3D_x1/best_weights_ep40.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_Ping_mednext3D_x2/best_weights_ep62.npz
PING,swinunetr,$DATA_PATH/TractSeg/hcp_exp/run_with_Ping_swinunetr_x17/best_weights_ep174.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_Ping_swinunetr_x18/best_weights_ep104.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_Ping_swinunetr_x19/best_weights_ep111.npz
PING,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/run_with_Ping_swinunetr3D_x7/best_weights_ep36.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_Ping_swinunetr3D_x8/best_weights_ep33.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_Ping_swinunetr3D_x9/best_weights_ep29.npz
