setting,source_model,target_model,model_family,fold0_weight_path,fold1_weight_path,fold2_weight_path,missing_folds,fold0_status,fold1_status,fold2_status,fold0_source,fold1_source,fold2_source
CamCan_to_HCP,CamCan,HCP,TractSeg,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x1/best_weights_ep224.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x4/best_weights_ep45.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x5/best_weights_ep107.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:168,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:170,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:172
CamCan_to_HCP,CamCan,HCP,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x1/best_weights_ep58.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x6/best_weights_ep16.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x6/best_weights_ep16.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:176,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:179,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:183
CamCan_to_HCP,CamCan,HCP,mednext3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D/best_weights_ep26.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D_x5/best_weights_ep26.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D_x4/best_weights_ep30.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:217,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:220,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:223
CamCan_to_HCP,CamCan,HCP,swinunetr,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x2/best_weights_ep205.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x5/best_weights_ep68.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x6/best_weights_ep65.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:188,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:191,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:194
CamCan_to_HCP,CamCan,HCP,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr3D_x2/best_weights_ep20.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr3D_x6/best_weights_ep13.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr3D_x6/best_weights_ep13.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:198,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:200,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:202
CamCan_to_PING,CamCan,PING,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D/best_weights_ep45.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D_x1/best_weights_ep36.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_MASAM3D_x2/best_weights_ep50.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:213 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:213,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:215 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:215,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:218 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:218
CamCan_to_PING,CamCan,PING,TractSeg,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x1/best_weights_ep224.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x4/best_weights_ep45.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg_x5/best_weights_ep107.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:178 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:178,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:180 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:180,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:182 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:182
CamCan_to_PING,CamCan,PING,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x1/best_weights_ep58.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x6/best_weights_ep16.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_TractSeg3D_x6/best_weights_ep16.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:186 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:186,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:188 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:188,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:191 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:191
CamCan_to_PING,CamCan,PING,mednext3D,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D/best_weights_ep26.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D_x5/best_weights_ep26.npz,$DATA_PATH/TractSeg/hcp_exp/CamCan_experiment_mednext3D_x4/best_weights_ep30.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:223 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:223,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:226 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:226,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:229 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:229
CamCan_to_PING,CamCan,PING,swinunetr,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x2/best_weights_ep205.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x5/best_weights_ep68.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr_x6/best_weights_ep65.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:196 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:196,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:199 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:199,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:202 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:202
CamCan_to_PING,CamCan,PING,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr3D_x2/best_weights_ep20.npz,$DATA_PATH/TractSeg/hcp_exp/run_with_CamCan_swinunetr3D_x6/best_weights_ep13.npz,MISSING,2,commented,commented,-,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:206 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:206,TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference.pbs:208 || TractSeg/scripts/cortex/inference/run_main_Ping_all_models_inference_peak_orig.pbs:208,-
HCP_CamCan_PING_to_CamCan,HCP_CamCan_PING,CamCan,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_MASAM3D_x8/best_weights_ep29.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_MASAM3D_x9/best_weights_ep25.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_MASAM3D_x10/best_weights_ep20.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:197 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:197,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:199 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:199,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:201 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:201
HCP_CamCan_PING_to_CamCan,HCP_CamCan_PING,CamCan,TractSeg,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg_x2/best_weights_ep22.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg_x3/best_weights_ep25.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg_x4/best_weights_ep26.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:22 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:23,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:25 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:26,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:27 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:28
HCP_CamCan_PING_to_CamCan,HCP_CamCan_PING,CamCan,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg3D_x3/best_weights_ep7.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg3D_x4/best_weights_ep8.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg3D_x5/best_weights_ep7.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:67 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:68,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:69 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:70,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:71 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:72
HCP_CamCan_PING_to_CamCan,HCP_CamCan_PING,CamCan,mednext3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_mednext3D/best_weights_ep18.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_mednext3D_x1/best_weights_ep16.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_mednext3D_x2/best_weights_ep14.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:237 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:237,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:239 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:239,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:241 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:241
HCP_CamCan_PING_to_CamCan,HCP_CamCan_PING,CamCan,swinunetr,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr_x4/best_weights_ep27.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr_x5/best_weights_ep25.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr_x6/best_weights_ep33.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:109 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:109,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:111 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:111,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:113 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:113
HCP_CamCan_PING_to_CamCan,HCP_CamCan_PING,CamCan,swinunetr3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr3D_x2/best_weights_ep7.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr3D_x3/best_weights_ep8.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_swinunetr3D_x4/best_weights_ep7.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:154 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:154,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:156 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:156,TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference.pbs:158 || TractSeg/scripts/cortex/inference/run_main_CamCan_all_models_inference_probs.pbs:158
HCP_CamCan_PING_to_HCP,HCP_CamCan_PING,HCP,MASAM3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_MASAM3D_x8/best_weights_ep29.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_MASAM3D_x9/best_weights_ep25.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_MASAM3D_x10/best_weights_ep20.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:98,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:100,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:102
HCP_CamCan_PING_to_HCP,HCP_CamCan_PING,HCP,TractSeg,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg_x2/best_weights_ep22.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg_x3/best_weights_ep25.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg_x4/best_weights_ep26.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:64,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:66,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:68
HCP_CamCan_PING_to_HCP,HCP_CamCan_PING,HCP,TractSeg3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg3D_x3/best_weights_ep7.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg3D_x4/best_weights_ep8.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_TractSeg3D_x5/best_weights_ep7.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:73,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:75,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:77
HCP_CamCan_PING_to_HCP,HCP_CamCan_PING,HCP,mednext3D,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_mednext3D/best_weights_ep18.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_mednext3D_x1/best_weights_ep16.npz,$DATA_PATH/TractSeg/hcp_exp/HCP_CamCan_Ping_experiment_mednext3D_x2/best_weights_ep14.npz,-,commented,commented,commented,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:106,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:108,TractSeg/scripts/cortex/inference/run_main_wholehcp_all_models_inference.pbs:111
